1	0.000000	00:00:00_00:00:03	Broadcast	ARP	42	Who has 10.0.1.2? Tell 10.0.1.5
2	0.002654	00:00:00_00:00:01	00:00:00_00:00:03	ARP	42	10.0.1.2 is at 00:00:00:00:00:01
3	0.002656	10.0.1.5	10.0.1.2	TCP	74	55632 → 9999 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=4221882368 TSecr=0 WS=512
4	0.005950	10.0.1.2	10.0.1.5	TCP	74	9999 → 55632 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=768706561 TSecr=4221882368 WS=512
5	0.005977	10.0.1.5	10.0.1.2	TCP	66	55632 → 9999 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=4221882374 TSecr=768706561
6	0.006232	10.0.1.5	10.0.1.2	TCP	96	55632 → 9999 [PSH, ACK] Seq=1 Ack=1 Win=42496 Len=30 TSval=4221882374 TSecr=768706561 [TCP segment of a reassembled PDU]
7	0.007506	10.0.1.2	10.0.1.5	TCP	66	9999 → 55632 [ACK] Seq=1 Ack=31 Win=43520 Len=0 TSval=768706563 TSecr=4221882374
8	0.008092	10.0.1.2	10.0.1.5	TCP	117	9999 → 55632 [PSH, ACK] Seq=1 Ack=31 Win=43520 Len=51 TSval=768706563 TSecr=4221882374 [TCP segment of a reassembled PDU]
9	0.008128	10.0.1.5	10.0.1.2	TCP	66	55632 → 9999 [ACK] Seq=31 Ack=52 Win=42496 Len=0 TSval=4221882376 TSecr=768706563
10	1.009770	10.0.1.5	10.0.1.2	TCP	96	55632 → 9999 [PSH, ACK] Seq=31 Ack=52 Win=42496 Len=30 TSval=4221883377 TSecr=768706563 [TCP segment of a reassembled PDU]
11	1.010713	10.0.1.2	10.0.1.5	TCP	117	9999 → 55632 [PSH, ACK] Seq=52 Ack=61 Win=43520 Len=51 TSval=768707567 TSecr=4221883377 [TCP segment of a reassembled PDU]
12	1.010738	10.0.1.5	10.0.1.2	TCP	66	55632 → 9999 [ACK] Seq=61 Ack=103 Win=42496 Len=0 TSval=4221883378 TSecr=768707567
13	2.012109	10.0.1.5	10.0.1.2	TCP	96	55632 → 9999 [PSH, ACK] Seq=61 Ack=103 Win=42496 Len=30 TSval=4221884380 TSecr=768707567 [TCP segment of a reassembled PDU]
14	2.012331	10.0.1.2	10.0.1.5	TCP	117	9999 → 55632 [PSH, ACK] Seq=103 Ack=91 Win=43520 Len=51 TSval=768708569 TSecr=4221884380 [TCP segment of a reassembled PDU]
15	2.012339	10.0.1.5	10.0.1.2	TCP	66	55632 → 9999 [ACK] Seq=91 Ack=154 Win=42496 Len=0 TSval=4221884380 TSecr=768708569
16	3.013806	10.0.1.5	10.0.1.2	TCP	96	55632 → 9999 [PSH, ACK] Seq=91 Ack=154 Win=42496 Len=30 TSval=4221885381 TSecr=768708569 [TCP segment of a reassembled PDU]
17	3.014312	10.0.1.2	10.0.1.5	TCP	117	9999 → 55632 [PSH, ACK] Seq=154 Ack=121 Win=43520 Len=51 TSval=768709571 TSecr=4221885381 [TCP segment of a reassembled PDU]
18	3.014327	10.0.1.5	10.0.1.2	TCP	66	55632 → 9999 [ACK] Seq=121 Ack=205 Win=42496 Len=0 TSval=4221885382 TSecr=768709571
19	4.015926	10.0.1.5	10.0.1.2	TCP	96	55632 → 9999 [PSH, ACK] Seq=121 Ack=205 Win=42496 Len=30 TSval=4221886383 TSecr=768709571 [TCP segment of a reassembled PDU]
20	4.016211	10.0.1.2	10.0.1.5	TCP	117	9999 → 55632 [PSH, ACK] Seq=205 Ack=151 Win=43520 Len=51 TSval=768710573 TSecr=4221886383 [TCP segment of a reassembled PDU]
21	4.016231	10.0.1.5	10.0.1.2	TCP	66	55632 → 9999 [ACK] Seq=151 Ack=256 Win=42496 Len=0 TSval=4221886384 TSecr=768710573
22	5.017765	10.0.1.5	10.0.1.2	TCP	96	55632 → 9999 [PSH, ACK] Seq=151 Ack=256 Win=42496 Len=30 TSval=4221887385 TSecr=768710573 [TCP segment of a reassembled PDU]
23	5.018071	10.0.1.2	10.0.1.5	TCP	117	9999 → 55632 [PSH, ACK] Seq=256 Ack=181 Win=43520 Len=51 TSval=768711575 TSecr=4221887385 [TCP segment of a reassembled PDU]
24	5.018077	10.0.1.5	10.0.1.2	TCP	66	55632 → 9999 [ACK] Seq=181 Ack=307 Win=42496 Len=0 TSval=4221887386 TSecr=768711575
25	6.019272	10.0.1.5	10.0.1.2	TCP	96	55632 → 9999 [PSH, ACK] Seq=181 Ack=307 Win=42496 Len=30 TSval=4221888387 TSecr=768711575 [TCP segment of a reassembled PDU]
26	6.019638	10.0.1.2	10.0.1.5	TCP	117	9999 → 55632 [PSH, ACK] Seq=307 Ack=211 Win=43520 Len=51 TSval=768712576 TSecr=4221888387 [TCP segment of a reassembled PDU]
27	6.019650	10.0.1.5	10.0.1.2	TCP	66	55632 → 9999 [ACK] Seq=211 Ack=358 Win=42496 Len=0 TSval=4221888387 TSecr=768712576
28	7.021194	10.0.1.5	10.0.1.2	TCP	96	55632 → 9999 [PSH, ACK] Seq=211 Ack=358 Win=42496 Len=30 TSval=4221889389 TSecr=768712576 [TCP segment of a reassembled PDU]
29	7.021481	10.0.1.2	10.0.1.5	TCP	117	9999 → 55632 [PSH, ACK] Seq=358 Ack=241 Win=43520 Len=51 TSval=768713578 TSecr=4221889389 [TCP segment of a reassembled PDU]
30	7.021498	10.0.1.5	10.0.1.2	TCP	66	55632 → 9999 [ACK] Seq=241 Ack=409 Win=42496 Len=0 TSval=4221889389 TSecr=768713578
31	8.022853	10.0.1.5	10.0.1.2	TCP	96	55632 → 9999 [PSH, ACK] Seq=241 Ack=409 Win=42496 Len=30 TSval=4221890390 TSecr=768713578 [TCP segment of a reassembled PDU]
32	8.023056	10.0.1.2	10.0.1.5	TCP	117	9999 → 55632 [PSH, ACK] Seq=409 Ack=271 Win=43520 Len=51 TSval=768714580 TSecr=4221890390 [TCP segment of a reassembled PDU]
33	8.023066	10.0.1.5	10.0.1.2	TCP	66	55632 → 9999 [ACK] Seq=271 Ack=460 Win=42496 Len=0 TSval=4221890391 TSecr=768714580
34	9.024418	10.0.1.5	10.0.1.2	TCP	96	55632 → 9999 [PSH, ACK] Seq=271 Ack=460 Win=42496 Len=30 TSval=4221891392 TSecr=768714580 [TCP segment of a reassembled PDU]
35	9.024609	10.0.1.2	10.0.1.5	TCP	117	9999 → 55632 [PSH, ACK] Seq=460 Ack=301 Win=43520 Len=51 TSval=768715581 TSecr=4221891392 [TCP segment of a reassembled PDU]
36	9.024618	10.0.1.5	10.0.1.2	TCP	66	55632 → 9999 [ACK] Seq=301 Ack=511 Win=42496 Len=0 TSval=4221891392 TSecr=768715581
37	10.026016	10.0.1.5	10.0.1.2	TCP	97	55632 → 9999 [PSH, ACK] Seq=301 Ack=511 Win=42496 Len=31 TSval=4221892394 TSecr=768715581 [TCP segment of a reassembled PDU]
