1	0.000000	fe80::60d5:c2ff:fed6:3b1d	ff02::fb	MDNS	107	Standard query 0x0000 PTR _ipps._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question
2	2.972595	10.0.1.5	10.0.1.2	TCP	74	38882 → 9999 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM=1 TSval=4221945014 TSecr=0 WS=512
3	2.975366	10.0.1.2	10.0.1.5	TCP	74	9999 → 38882 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM=1 TSval=768769204 TSecr=4221945014 WS=512
4	2.975389	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=4221945016 TSecr=768769204
5	2.975422	10.0.1.5	10.0.1.2	TCP	96	38882 → 9999 [PSH, ACK] Seq=1 Ack=1 Win=42496 Len=30 TSval=4221945016 TSecr=768769204 [TCP segment of a reassembled PDU]
6	2.976391	10.0.1.2	10.0.1.5	TCP	66	9999 → 38882 [ACK] Seq=1 Ack=31 Win=43520 Len=0 TSval=768769206 TSecr=4221945016
7	2.976446	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=1 Ack=31 Win=43520 Len=51 TSval=768769206 TSecr=4221945016 [TCP segment of a reassembled PDU]
8	2.976462	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=31 Ack=52 Win=42496 Len=0 TSval=4221945017 TSecr=768769206
9	3.978124	10.0.1.5	10.0.1.2	TCP	96	38882 → 9999 [PSH, ACK] Seq=31 Ack=52 Win=42496 Len=30 TSval=4221946019 TSecr=768769206 [TCP segment of a reassembled PDU]
10	3.979775	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=52 Ack=61 Win=43520 Len=51 TSval=768770209 TSecr=4221946019 [TCP segment of a reassembled PDU]
11	3.979795	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=61 Ack=103 Win=42496 Len=0 TSval=4221946021 TSecr=768770209
12	4.981537	10.0.1.5	10.0.1.2	TCP	96	38882 → 9999 [PSH, ACK] Seq=61 Ack=103 Win=42496 Len=30 TSval=4221947023 TSecr=768770209 [TCP segment of a reassembled PDU]
13	4.982136	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=103 Ack=91 Win=43520 Len=51 TSval=768771212 TSecr=4221947023 [TCP segment of a reassembled PDU]
14	4.982150	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=91 Ack=154 Win=42496 Len=0 TSval=4221947023 TSecr=768771212
15	5.984143	10.0.1.5	10.0.1.2	TCP	96	38882 → 9999 [PSH, ACK] Seq=91 Ack=154 Win=42496 Len=30 TSval=4221948025 TSecr=768771212 [TCP segment of a reassembled PDU]
16	5.984304	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=154 Ack=121 Win=43520 Len=51 TSval=768772214 TSecr=4221948025 [TCP segment of a reassembled PDU]
17	5.984310	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=121 Ack=205 Win=42496 Len=0 TSval=4221948025 TSecr=768772214
18	6.985462	10.0.1.5	10.0.1.2	TCP	96	38882 → 9999 [PSH, ACK] Seq=121 Ack=205 Win=42496 Len=30 TSval=4221949026 TSecr=768772214 [TCP segment of a reassembled PDU]
19	6.985734	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=205 Ack=151 Win=43520 Len=51 TSval=768773216 TSecr=4221949026 [TCP segment of a reassembled PDU]
20	6.985742	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=151 Ack=256 Win=42496 Len=0 TSval=4221949027 TSecr=768773216
21	7.986620	10.0.1.5	10.0.1.2	TCP	96	38882 → 9999 [PSH, ACK] Seq=151 Ack=256 Win=42496 Len=30 TSval=4221950028 TSecr=768773216 [TCP segment of a reassembled PDU]
22	7.986737	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=256 Ack=181 Win=43520 Len=51 TSval=768774217 TSecr=4221950028 [TCP segment of a reassembled PDU]
23	7.986742	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=181 Ack=307 Win=42496 Len=0 TSval=4221950028 TSecr=768774217
24	8.988695	10.0.1.5	10.0.1.2	TCP	96	38882 → 9999 [PSH, ACK] Seq=181 Ack=307 Win=42496 Len=30 TSval=4221951030 TSecr=768774217 [TCP segment of a reassembled PDU]
25	8.988938	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=307 Ack=211 Win=43520 Len=51 TSval=768775219 TSecr=4221951030 [TCP segment of a reassembled PDU]
26	8.988942	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=211 Ack=358 Win=42496 Len=0 TSval=4221951030 TSecr=768775219
27	9.990236	10.0.1.5	10.0.1.2	TCP	96	38882 → 9999 [PSH, ACK] Seq=211 Ack=358 Win=42496 Len=30 TSval=4221952031 TSecr=768775219 [TCP segment of a reassembled PDU]
28	9.990766	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=358 Ack=241 Win=43520 Len=51 TSval=768776221 TSecr=4221952031 [TCP segment of a reassembled PDU]
29	9.990781	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=241 Ack=409 Win=42496 Len=0 TSval=4221952032 TSecr=768776221
30	10.993248	10.0.1.5	10.0.1.2	TCP	96	38882 → 9999 [PSH, ACK] Seq=241 Ack=409 Win=42496 Len=30 TSval=4221953034 TSecr=768776221 [TCP segment of a reassembled PDU]
31	10.994394	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=409 Ack=271 Win=43520 Len=51 TSval=768777224 TSecr=4221953034 [TCP segment of a reassembled PDU]
32	10.994411	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=271 Ack=460 Win=42496 Len=0 TSval=4221953035 TSecr=768777224
33	11.996186	10.0.1.5	10.0.1.2	TCP	96	38882 → 9999 [PSH, ACK] Seq=271 Ack=460 Win=42496 Len=30 TSval=4221954037 TSecr=768777224 [TCP segment of a reassembled PDU]
34	11.996699	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=460 Ack=301 Win=43520 Len=51 TSval=768778227 TSecr=4221954037 [TCP segment of a reassembled PDU]
35	11.996716	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=301 Ack=511 Win=42496 Len=0 TSval=4221954038 TSecr=768778227
36	12.997632	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=301 Ack=511 Win=42496 Len=31 TSval=4221955039 TSecr=768778227 [TCP segment of a reassembled PDU]
37	12.997890	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=511 Ack=332 Win=43520 Len=51 TSval=768779228 TSecr=4221955039 [TCP segment of a reassembled PDU]
38	12.997897	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=332 Ack=562 Win=42496 Len=0 TSval=4221955039 TSecr=768779228
39	13.999363	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=332 Ack=562 Win=42496 Len=31 TSval=4221956040 TSecr=768779228 [TCP segment of a reassembled PDU]
40	13.999890	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=562 Ack=363 Win=43520 Len=51 TSval=768780230 TSecr=4221956040 [TCP segment of a reassembled PDU]
41	13.999909	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=363 Ack=613 Win=42496 Len=0 TSval=4221956041 TSecr=768780230
42	15.001961	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=363 Ack=613 Win=42496 Len=31 TSval=4221957043 TSecr=768780230 [TCP segment of a reassembled PDU]
43	15.002331	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=613 Ack=394 Win=43520 Len=51 TSval=768781232 TSecr=4221957043 [TCP segment of a reassembled PDU]
44	15.002344	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=394 Ack=664 Win=42496 Len=0 TSval=4221957043 TSecr=768781232
45	16.004037	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=394 Ack=664 Win=42496 Len=31 TSval=4221958045 TSecr=768781232 [TCP segment of a reassembled PDU]
46	16.004680	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=664 Ack=425 Win=43520 Len=51 TSval=768782235 TSecr=4221958045 [TCP segment of a reassembled PDU]
47	16.004699	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=425 Ack=715 Win=42496 Len=0 TSval=4221958046 TSecr=768782235
48	17.006689	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=425 Ack=715 Win=42496 Len=31 TSval=4221959048 TSecr=768782235 [TCP segment of a reassembled PDU]
49	17.007266	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=715 Ack=456 Win=43520 Len=51 TSval=768783237 TSecr=4221959048 [TCP segment of a reassembled PDU]
50	17.007271	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=456 Ack=766 Win=42496 Len=0 TSval=4221959048 TSecr=768783237
51	18.008944	10.0.1.5	10.0.1.2	TCP	97	38882 → 9999 [PSH, ACK] Seq=456 Ack=766 Win=42496 Len=31 TSval=4221960050 TSecr=768783237 [TCP segment of a reassembled PDU]
52	18.009372	10.0.1.2	10.0.1.5	TCP	117	9999 → 38882 [PSH, ACK] Seq=766 Ack=487 Win=43520 Len=51 TSval=768784239 TSecr=4221960050 [TCP segment of a reassembled PDU]
53	18.009387	10.0.1.5	10.0.1.2	TCP	66	38882 → 9999 [ACK] Seq=487 Ack=817 Win=42496 Len=0 TSval=4221960050 TSecr=768784239
